Num,Last Name,First Name,Middle Name,Position Title,EOD,Email,State,Circuit,Phone,Employee ID
1,PENG,LAMBERT,XIAOYI,CSI,1/12/2025,lambert.peng@usda.gov,New York,NY-01,555-0101,EMP001
2,RAINERO JR,RONALD,ANTHONY,CSI,10/20/2024,ronald.rainero@usda.gov,New York,NY-01,555-0102,EMP002
3,FIGUEROA,DELORIA,TRACY,CSI,3/10/2024,deloria.figueroa@usda.gov,New York,NY-01,555-0103,EMP003
4,BURGOS,JENNIFER,MARIE,CSI,1/28/2024,jennifer.burgos@usda.gov,New York,NY-01,555-0104,EMP004
5,JUGUETA,DANIELA,MARIA,CSI,1/28/2024,daniela.jugueta@usda.gov,New York,NY-01,555-0105,EMP005
6,DIALLO,MOHAMED,LAMINE,CSI,12/3/2023,mohamed.diallo@usda.gov,New Jersey,NJ-01,555-0106,EMP006
7,MARTIN,NARCISSUS,,CSI,6/18/2023,narcissus.martin@usda.gov,New York,NY-01,555-0107,EMP007
8,ESTINVIL,SULAIMAN,JAM,CSI,7/31/2022,sulaiman.estinvil@usda.gov,New York,NY-01,555-0108,EMP008
9,CASTRO,EZEQUIEL,,CSI,3/13/2022,ezequiel.castro@usda.gov,New York,NY-01,555-0109,EMP009
10,MANZOOR,SHAIK,MOHAMED,CSI,9/26/2021,shaik.manzoor@usda.gov,New York,NY-01,555-0110,EMP010
11,STEVEN,ALLEN,,CSI,5/8/2022,allen.steven@usda.gov,New York,NY-01,555-0111,EMP011
12,CENTRELLA,GABRIEL,V,CSI,1/4/2009,gabriel.centrella@usda.gov,New York,NY-01,555-0112,EMP012
13,MENDIOLINA,LAURA,LUCILA,CSI,4/15/2007,laura.mendiolina@usda.gov,New York,NY-01,555-0113,EMP013
14,REEVES,URBAN,MAYNARD,CSI,1/7/2007,urban.reeves@usda.gov,New York,NY-01,555-0114,EMP014
15,SALAZAR MEJIA,JOSE,,CSI,9/18/2005,jose.salazar@usda.gov,New York,NY-01,555-0115,EMP015
16,PONTELIRA,RANFIS,,CSI,8/21/2005,ranfis.pontelira@usda.gov,New York,NY-01,555-0116,EMP016
17,BELFORT,DIEUMENE,J,CSI,5/2/2004,dieumene.belfort@usda.gov,New York,NY-01,555-0117,EMP017
18,MANUEL,BRIDGET,L,CSI,6/18/2000,bridget.manuel@usda.gov,New York,NY-01,555-0118,EMP018
19,LEE,VANESSA,J,CSI,1/4/1998,vanessa.lee@usda.gov,New York,NY-01,555-0119,EMP019
20,HASBEN POWERS,EARNECIA,,CSI,11/27/1983,earnecia.powers@usda.gov,New York,NY-01,555-0120,EMP020
